ФК	Плю	Матрица	Уровень ассортимента TCX	Уровень ассортимента TC5	Рег.цена	Цена промо
G1	3606492	Все магазины	УА15	УА4	500	200
G1	4348525	Все магазины	УА15	УА4	500	200
G1	3661245	Все магазины	УА15	УА4	500	200
G1	3653093	Все магазины	УА15	УА4	500	200
G1	3421248	Все магазины	УА15	УА4	500	200
G1	18878	Все магазины	УА15	УА4	500	200
G1	3403998	Все магазины	УА15	УА4	500	200
G1	3654793	Все магазины	УА15	УА4	500	200
G1	3453575	Все магазины	УА15	УА4	500	200
G1	3346618	Все магазины	УА15	УА4	500	200
G1	3158475	Все магазины	УА15	УА4	500	200
G1	4230847	Все магазины	УА15	УА4	500	200
G1	4121784	Все магазины	УА15	УА4	500	200
G1	3130046	Все магазины	УА15	УА4	500	200
G1	4097629	Все магазины	УА15	УА4	500	200
G1	4260197	Все магазины	УА15	УА4	500	200
G1	3353398	Все магазины	УА15	УА4	500	200
G1	3623206	Все магазины	УА15	УА4	500	200
G1	4124216	Все магазины	УА15	УА4	500	200
G1	3956002	Все магазины	УА15	УА4	500	200
G1	2129179	Все магазины	УА15	УА4	500	200
G1	3493876	Все магазины	УА15	УА4	500	200
G1	3073613	Все магазины	УА15	УА4	500	200
G1	3474433	Все магазины	УА15	УА4	500	200
G1	4141778	Все магазины	УА15	УА4	500	200
G1	3493874	Все магазины	УА15	УА4	500	200
G1	3378933	Все магазины	УА15	УА4	500	200
G1	3396617	Все магазины	УА15	УА4	500	200
G1	4243869	Все магазины	УА15	УА4	500	200
G1	66220	Все магазины	УА15	УА4	500	200
G1	3664262	Все магазины	УА15	УА4	500	200
G1	4260783	Все магазины	УА15	УА4	500	200
G1	4253597	Все магазины	УА15	УА4	500	200
G1	3463868	Все магазины	УА15	УА4	500	200
G1	3684932	Все магазины	УА15	УА4	500	200
G1	4125773	Все магазины	УА15	УА4	500	200
G1	3485483	Все магазины	УА15	УА4	500	200
G1	4096122	Все магазины	УА15	УА4	500	200
G1	4198182	Все магазины	УА15	УА4	500	200
G1	3671770	Все магазины	УА15	УА4	500	200
G1	3678676	Все магазины	УА15	УА4	500	200
G1	4112327	Все магазины	УА15	УА4	500	200
G1	33525	Все магазины	УА15	УА4	500	200
G1	24434	Все магазины	УА15	УА4	500	200
G1	3481996	Все магазины	УА15	УА4	500	200
G1	4345206	Все магазины	УА15	УА4	500	200
G1	4035364	Все магазины	УА15	УА4	500	200
G1	4343822	Все магазины	УА15	УА4	500	200
G1	3495740	Все магазины	УА15	УА4	500	200
G1	4033873	Все магазины	УА15	УА4	500	200
G1	4286684	Все магазины	УА15	УА4	500	200
G1	4058136	Все магазины	УА15	УА4	500	200
G2	3691666	Все магазины	УА15	УА4	500	200
G2	3506149	Все магазины	УА15	УА4	500	200
G2	3673237	Все магазины	УА15	УА4	500	200
G2	2132728	Все магазины	УА15	УА4	500	200
G2	3682959	Все магазины	УА15	УА4	500	200
G2	4084251	Все магазины	УА15	УА4	500	200
G2	4127415	Все магазины	УА15	УА4	500	200
G2	4092496	Все магазины	УА15	УА4	500	200
G2	3013707	Все магазины	УА15	УА4	500	200
G2	4344427	Все магазины	УА15	УА4	500	200
G2	2070243	Все магазины	УА15	УА4	500	200
G2	4024243	Все магазины	УА15	УА4	500	200
G2	4276817	Все магазины	УА15	УА4	500	200
G2	4364208	Все магазины	УА15	УА4	500	200
G2	4317679	Все магазины	УА15	УА4	500	200
G2	3905733	Все магазины	УА15	УА4	500	200
G2	4047278	Все магазины	УА15	УА4	500	200
G2	4299093	Все магазины	УА15	УА4	500	200
G2	4196106	Все магазины	УА15	УА4	500	200
G2	3652243	Все магазины	УА15	УА4	500	200
G2	3645439	Все магазины	УА15	УА4	500	200
G2	4203013	Все магазины	УА15	УА4	500	200
G2	4371180	Все магазины	УА15	УА4	500	200
G2	3419249	Все магазины	УА15	УА4	500	200
G2	4118378	Все магазины	УА15	УА4	500	200
G2	3410676	Все магазины	УА15	УА4	500	200
G2	3689775	Все магазины	УА15	УА4	500	200
G2	3444058	Все магазины	УА15	УА4	500	200
G2	3449615	Все магазины	УА15	УА4	500	200
G2	3983467	Все магазины	УА15	УА4	500	200
G2	4167517	Все магазины	УА15	УА4	500	200
G2	3456284	Все магазины	УА15	УА4	500	200
G2	3695306	Все магазины	УА15	УА4	500	200
G2	4254491	Все магазины	УА15	УА4	500	200
G2	3420188	Все магазины	УА15	УА4	500	200
G2	97035	Все магазины	УА15	УА4	500	200
G2	3665418	Все магазины	УА15	УА4	500	200
G2	4035420	Все магазины	УА15	УА4	500	200
G2	3691542	Все магазины	УА15	УА4	500	200
G2	4092539	Все магазины	УА15	УА4	500	200
G2	4200164	Все магазины	УА15	УА4	500	200
G2	4352551	Все магазины	УА15	УА4	500	200
G2	3468170	Все магазины	УА15	УА4	500	200
G2	4178272	Все магазины	УА15	УА4	500	200
G2	4171635	Все магазины	УА15	УА4	500	200
G2	3468923	Все магазины	УА15	УА4	500	200
G2	4111081	Все магазины	УА15	УА4	500	200
G2	4329638	Все магазины	УА15	УА4	500	200
G2	4309018	Все магазины	УА15	УА4	500	200
G2	4100348	Все магазины	УА15	УА4	500	200
G2	30619	Все магазины	УА15	УА4	500	200
G2	2077941	Все магазины	УА15	УА4	500	200
G2	3420117	Все магазины	УА15	УА4	500	200
G2	3192835	Все магазины	УА15	УА4	500	200
G2	4164402	Все магазины	УА15	УА4	500	200
G2	4009470	Все магазины	УА15	УА4	500	200
G2	4297714	Все магазины	УА15	УА4	500	200
G2	4149838	Все магазины	УА15	УА4	500	200
G2	4097641	Все магазины	УА15	УА4	500	200
G2	96211	Все магазины	УА15	УА4	500	200
G2	4146720	Все магазины	УА15	УА4	500	200
G2	4057379	Все магазины	УА15	УА4	500	200
G2	4027797	Все магазины	УА15	УА4	500	200
G2	4271727	Все магазины	УА15	УА4	500	200
G2	3444533	Все магазины	УА15	УА4	500	200
G2	3688511	Все магазины	УА15	УА4	500	200
G2	50619	Все магазины	УА15	УА4	500	200
G2	3361397	Все магазины	УА15	УА4	500	200
G2	6781	Все магазины	УА15	УА4	500	200
G2	4271155	Все магазины	УА15	УА4	500	200
G2	3937292	Все магазины	УА15	УА4	500	200
G2	3065620	Все магазины	УА15	УА4	500	200
G2	2092606	Все магазины	УА15	УА4	500	200
G2	3658828	Все магазины	УА15	УА4	500	200
G2	2109861	Все магазины	УА15	УА4	500	200
G2	3688512	Все магазины	УА15	УА4	500	200
G2	3486080	Все магазины	УА15	УА4	500	200
G2	4207217	Все магазины	УА15	УА4	500	200
G2	2054636	Все магазины	УА15	УА4	500	200
G2	4099118	Все магазины	УА15	УА4	500	200
G2	4274551	Все магазины	УА15	УА4	500	200
G2	4317904	Все магазины	УА15	УА4	500	200
G2	4220615	Все магазины	УА15	УА4	500	200
G2	3485962	Все магазины	УА15	УА4	500	200
G2	4323320	Все магазины	УА15	УА4	500	200
G2	55934	Все магазины	УА15	УА4	500	200
G2	4109988	Все магазины	УА15	УА4	500	200
G2	4278973	Все магазины	УА15	УА4	500	200
G2	46397	Все магазины	УА15	УА4	500	200
G2	4053005	Все магазины	УА15	УА4	500	200
G2	4116857	Все магазины	УА15	УА4	500	200
G2	78958	Все магазины	УА15	УА4	500	200
G2	3480237	Все магазины	УА15	УА4	500	200
G2	4009477	Все магазины	УА15	УА4	500	200
G2	3439929	Все магазины	УА15	УА4	500	200
G2	4009476	Все магазины	УА15	УА4	500	200
G2	3377954	Все магазины	УА15	УА4	500	200
G2	3677863	Все магазины	УА15	УА4	500	200
G2	3971462	Все магазины	УА15	УА4	500	200
G2	3645821	Все магазины	УА15	УА4	500	200
G2	3416111	Все магазины	УА15	УА4	500	200
G2	3298318	Все магазины	УА15	УА4	500	200
G2	3901588	Все магазины	УА15	УА4	500	200
G2	4113976	Все магазины	УА15	УА4	500	200
G2	3422400	Все магазины	УА15	УА4	500	200
G2	3657439	Все магазины	УА15	УА4	500	200
G2	3620808	Все магазины	УА15	УА4	500	200
G2	4090769	Все магазины	УА15	УА4	500	200
G2	3606968	Все магазины	УА15	УА4	500	200
G2	3633651	Все магазины	УА15	УА4	500	200
G2	4057006	Все магазины	УА15	УА4	500	200
G2	4087173	Все магазины	УА15	УА4	500	200
G2	3419207	Все магазины	УА15	УА4	500	200
G2	3408656	Все магазины	УА15	УА4	500	200
G2	4050173	Все магазины	УА15	УА4	500	200
G2	2114146	Все магазины	УА15	УА4	500	200
G2	4278975	Все магазины	УА15	УА4	500	200
G2	4100354	Все магазины	УА15	УА4	500	200
G2	4252279	Все магазины	УА15	УА4	500	200
G2	4161375	Все магазины	УА15	УА4	500	200
G2	4152819	Все магазины	УА15	УА4	500	200
G2	4280212	Все магазины	УА15	УА4	500	200
G2	4116169	Все магазины	УА15	УА4	500	200
G2	4206081	Все магазины	УА15	УА4	500	200
G2	4092517	Все магазины	УА15	УА4	500	200
G2	3488465	Все магазины	УА15	УА4	500	200
G2	3261205	Все магазины	УА15	УА4	500	200
G2	3338198	Все магазины	УА15	УА4	500	200
G2	4344240	Все магазины	УА15	УА4	500	200
G2	3398697	Все магазины	УА15	УА4	500	200
G2	88743	Все магазины	УА15	УА4	500	200
G2	3657654	Все магазины	УА15	УА4	500	200
G2	7179	Все магазины	УА15	УА4	500	200
G2	3645926	Все магазины	УА15	УА4	500	200
G2	3996143	Все магазины	УА15	УА4	500	200
G2	3380940	Все магазины	УА15	УА4	500	200
G2	3030277	Все магазины	УА15	УА4	500	200
G2	4274039	Все магазины	УА15	УА4	500	200
G2	4257060	Все магазины	УА15	УА4	500	200
G2	3960278	Все магазины	УА15	УА4	500	200
G2	3697762	Все магазины	УА15	УА4	500	200
G2	95759	Все магазины	УА15	УА4	500	200
G2	3246062	Все магазины	УА15	УА4	500	200
G2	3411487	Все магазины	УА15	УА4	500	200
G2	4297710	Все магазины	УА15	УА4	500	200
G2	3456265	Все магазины	УА15	УА4	500	200
G2	4116170	Все магазины	УА15	УА4	500	200
G2	3471538	Все магазины	УА15	УА4	500	200
G2	3645089	Все магазины	УА15	УА4	500	200
G2	3190686	Все магазины	УА15	УА4	500	200
G2	3420788	Все магазины	УА15	УА4	500	200
G2	3619642	Все магазины	УА15	УА4	500	200
G2	4122720	Все магазины	УА15	УА4	500	200
G2	4363831	Все магазины	УА15	УА4	500	200
G3	2135089	Все магазины	УА15	УА4	500	200
G3	3496804	Все магазины	УА15	УА4	500	200
G3	3976583	Все магазины	УА15	УА4	500	200
G3	4212875	Все магазины	УА15	УА4	500	200
G3	3948109	Все магазины	УА15	УА4	500	200
G3	3624895	Все магазины	УА15	УА4	500	200
G3	3500560	Все магазины	УА15	УА4	500	200
G3	3422799	Все магазины	УА15	УА4	500	200
G3	3637184	Все магазины	УА15	УА4	500	200
G3	3337396	Все магазины	УА15	УА4	500	200
G3	3900620	Все магазины	УА15	УА4	500	200
G3	3935647	Все магазины	УА15	УА4	500	200
G3	3676879	Все магазины	УА15	УА4	500	200
G3	4102909	Все магазины	УА15	УА4	500	200
G3	2094233	Все магазины	УА15	УА4	500	200
G3	4157671	Все магазины	УА15	УА4	500	200
G3	4263858	Все магазины	УА15	УА4	500	200
G3	3432977	Все магазины	УА15	УА4	500	200
G3	4308563	Все магазины	УА15	УА4	500	200
G3	4306459	Все магазины	УА15	УА4	500	200
G3	4295000	Все магазины	УА15	УА4	500	200
G3	3674165	Все магазины	УА15	УА4	500	200
G3	3647772	Все магазины	УА15	УА4	500	200
G3	4041982	Все магазины	УА15	УА4	500	200
G3	82131	Все магазины	УА15	УА4	500	200
G3	4200811	Все магазины	УА15	УА4	500	200
G3	3356193	Все магазины	УА15	УА4	500	200
G3	4041992	Все магазины	УА15	УА4	500	200
G3	3480653	Все магазины	УА15	УА4	500	200
G3	24172	Все магазины	УА15	УА4	500	200
G3	3014037	Все магазины	УА15	УА4	500	200
G3	4081882	Все магазины	УА15	УА4	500	200
G3	4014106	Все магазины	УА15	УА4	500	200
G3	4340724	Все магазины	УА15	УА4	500	200
G3	4072446	Все магазины	УА15	УА4	500	200
G3	3417034	Все магазины	УА15	УА4	500	200
G3	4054121	Все магазины	УА15	УА4	500	200
G3	4113328	Все магазины	УА15	УА4	500	200
G3	3406322	Все магазины	УА15	УА4	500	200
G3	13173	Все магазины	УА15	УА4	500	200
G3	4045777	Все магазины	УА15	УА4	500	200
G3	19257	Все магазины	УА15	УА4	500	200
G3	4090464	Все магазины	УА15	УА4	500	200
G3	41558	Все магазины	УА15	УА4	500	200
G3	2117155	Все магазины	УА15	УА4	500	200
G3	4103571	Все магазины	УА15	УА4	500	200
G3	4088891	Все магазины	УА15	УА4	500	200
G3	4045244	Все магазины	УА15	УА4	500	200
G3	3057888	Все магазины	УА15	УА4	500	200
G3	3629441	Все магазины	УА15	УА4	500	200
G3	3050091	Все магазины	УА15	УА4	500	200
G3	4137816	Все магазины	УА15	УА4	500	200
G3	3431297	Все магазины	УА15	УА4	500	200
G3	4380735	Все магазины	УА15	УА4	500	200
G3	2069786	Все магазины	УА15	УА4	500	200
G3	3475931	Все магазины	УА15	УА4	500	200
G3	3016954	Все магазины	УА15	УА4	500	200
G3	3689507	Все магазины	УА15	УА4	500	200
G3	3915852	Все магазины	УА15	УА4	500	200
G3	3203353	Все магазины	УА15	УА4	500	200
G3	4025398	Все магазины	УА15	УА4	500	200
G3	3689724	Все магазины	УА15	УА4	500	200
G3	4109093	Все магазины	УА15	УА4	500	200
G3	2094230	Все магазины	УА15	УА4	500	200
G3	4106642	Все магазины	УА15	УА4	500	200
G3	3405017	Все магазины	УА15	УА4	500	200
G3	4199958	Все магазины	УА15	УА4	500	200
G3	3943204	Все магазины	УА15	УА4	500	200
G3	3634376	Все магазины	УА15	УА4	500	200
G3	4305381	Все магазины	УА15	УА4	500	200
G3	24163	Все магазины	УА15	УА4	500	200
G3	3684076	Все магазины	УА15	УА4	500	200
G3	4191782	Все магазины	УА15	УА4	500	200
G3	4309956	Все магазины	УА15	УА4	500	200
G3	4311987	Все магазины	УА15	УА4	500	200
G3	4106647	Все магазины	УА15	УА4	500	200
G3	3330766	Все магазины	УА15	УА4	500	200
G3	4180399	Все магазины	УА15	УА4	500	200
G3	4255165	Все магазины	УА15	УА4	500	200
G3	4067094	Все магазины	УА15	УА4	500	200
G3	3691351	Все магазины	УА15	УА4	500	200
G3	4340952	Все магазины	УА15	УА4	500	200
G3	3205765	Все магазины	УА15	УА4	500	200
G3	4127605	Все магазины	УА15	УА4	500	200
G3	4302663	Все магазины	УА15	УА4	500	200
G3	2113217	Все магазины	УА15	УА4	500	200
G3	3341093	Все магазины	УА15	УА4	500	200
G3	3680545	Все магазины	УА15	УА4	500	200
G3	4053252	Все магазины	УА15	УА4	500	200
G3	4301242	Все магазины	УА15	УА4	500	200
G3	3439167	Все магазины	УА15	УА4	500	200
G3	4237426	Все магазины	УА15	УА4	500	200
G3	3433084	Все магазины	УА15	УА4	500	200
G3	3002573	Все магазины	УА15	УА4	500	200
G3	4370583	Все магазины	УА15	УА4	500	200
G3	4067098	Все магазины	УА15	УА4	500	200
G3	4196491	Все магазины	УА15	УА4	500	200
G3	4051424	Все магазины	УА15	УА4	500	200
G3	2083275	Все магазины	УА15	УА4	500	200
G3	3330785	Все магазины	УА15	УА4	500	200
G3	2032728	Все магазины	УА15	УА4	500	200
G3	2093676	Все магазины	УА15	УА4	500	200
G3	53219	Все магазины	УА15	УА4	500	200
G3	3249	Все магазины	УА15	УА4	500	200
G3	3484169	Все магазины	УА15	УА4	500	200
G3	3432574	Все магазины	УА15	УА4	500	200
G3	4106650	Все магазины	УА15	УА4	500	200
G3	3200451	Все магазины	УА15	УА4	500	200
G3	3665003	Все магазины	УА15	УА4	500	200
G3	4058208	Все магазины	УА15	УА4	500	200
G3	3363263	Все магазины	УА15	УА4	500	200
G3	3621891	Все магазины	УА15	УА4	500	200
G3	4054123	Все магазины	УА15	УА4	500	200
G3	85396	Все магазины	УА15	УА4	500	200
G3	4049231	Все магазины	УА15	УА4	500	200
G3	3016983	Все магазины	УА15	УА4	500	200
G3	4173427	Все магазины	УА15	УА4	500	200
G3	4024027	Все магазины	УА15	УА4	500	200
G3	4027966	Все магазины	УА15	УА4	500	200
G3	3480094	Все магазины	УА15	УА4	500	200
G3	3278542	Все магазины	УА15	УА4	500	200
G3	2062825	Все магазины	УА15	УА4	500	200
G3	4137765	Все магазины	УА15	УА4	500	200
G3	3373991	Все магазины	УА15	УА4	500	200
G3	51682	Все магазины	УА15	УА4	500	200
G3	4058192	Все магазины	УА15	УА4	500	200
G3	3927719	Все магазины	УА15	УА4	500	200
G3	3672739	Все магазины	УА15	УА4	500	200
G3	4301939	Все магазины	УА15	УА4	500	200
G3	3504987	Все магазины	УА15	УА4	500	200
G3	80588	Все магазины	УА15	УА4	500	200
G3	4295825	Все магазины	УА15	УА4	500	200
G3	3641449	Все магазины	УА15	УА4	500	200
G3	4238878	Все магазины	УА15	УА4	500	200
G3	4109083	Все магазины	УА15	УА4	500	200
G3	4305383	Все магазины	УА15	УА4	500	200
G3	99914	Все магазины	УА15	УА4	500	200
G3	3903490	Все магазины	УА15	УА4	500	200
G3	4134051	Все магазины	УА15	УА4	500	200
G3	3004162	Все магазины	УА15	УА4	500	200
G3	4077378	Все магазины	УА15	УА4	500	200
G3	4183566	Все магазины	УА15	УА4	500	200
G3	4215033	Все магазины	УА15	УА4	500	200
G3	4058207	Все магазины	УА15	УА4	500	200
G3	4087430	Все магазины	УА15	УА4	500	200
G3	3397877	Все магазины	УА15	УА4	500	200
G3	3307679	Все магазины	УА15	УА4	500	200
G3	3665000	Все магазины	УА15	УА4	500	200
G3	99708	Все магазины	УА15	УА4	500	200
G3	4108655	Все магазины	УА15	УА4	500	200
G3	4066016	Все магазины	УА15	УА4	500	200
G3	4014097	Все магазины	УА15	УА4	500	200
G3	3684870	Все магазины	УА15	УА4	500	200
G3	4152681	Все магазины	УА15	УА4	500	200
G4	3927207	Все магазины	УА15	УА4	500	200
G4	4088487	Все магазины	УА15	УА4	500	200
G4	3414965	Все магазины	УА15	УА4	500	200
G4	3660623	Все магазины	УА15	УА4	500	200
G4	4311110	Все магазины	УА15	УА4	500	200
G4	3982213	Все магазины	УА15	УА4	500	200
G4	3424656	Все магазины	УА15	УА4	500	200
G4	4172388	Все магазины	УА15	УА4	500	200
G4	4152166	Все магазины	УА15	УА4	500	200
G4	40442	Все магазины	УА15	УА4	500	200
G4	4110212	Все магазины	УА15	УА4	500	200
G4	3025687	Все магазины	УА15	УА4	500	200
G4	4166680	Все магазины	УА15	УА4	500	200
G4	4264412	Все магазины	УА15	УА4	500	200
G4	41462	Все магазины	УА15	УА4	500	200
G4	4132254	Все магазины	УА15	УА4	500	200
G4	35080	Все магазины	УА15	УА4	500	200
G4	4343367	Все магазины	УА15	УА4	500	200
G4	3491220	Все магазины	УА15	УА4	500	200
G4	4230171	Все магазины	УА15	УА4	500	200
G4	4230157	Все магазины	УА15	УА4	500	200
G4	4156888	Все магазины	УА15	УА4	500	200
G4	3673069	Все магазины	УА15	УА4	500	200
G4	2094583	Все магазины	УА15	УА4	500	200
G4	3263869	Все магазины	УА15	УА4	500	200
G4	4083650	Все магазины	УА15	УА4	500	200
G4	4249780	Все магазины	УА15	УА4	500	200
G4	4192449	Все магазины	УА15	УА4	500	200
G4	4204367	Все магазины	УА15	УА4	500	200
G4	3682075	Все магазины	УА15	УА4	500	200
G4	3449358	Все магазины	УА15	УА4	500	200
G4	4084354	Все магазины	УА15	УА4	500	200
G4	3647004	Все магазины	УА15	УА4	500	200
G4	3928188	Все магазины	УА15	УА4	500	200
G4	4212588	Все магазины	УА15	УА4	500	200
G4	3406904	Все магазины	УА15	УА4	500	200
G4	3420740	Все магазины	УА15	УА4	500	200
G4	3639733	Все магазины	УА15	УА4	500	200
G4	4106686	Все магазины	УА15	УА4	500	200
G4	4026838	Все магазины	УА15	УА4	500	200
G4	30384	Все магазины	УА15	УА4	500	200
G4	4043231	Все магазины	УА15	УА4	500	200
G4	4165086	Все магазины	УА15	УА4	500	200
G4	3396352	Все магазины	УА15	УА4	500	200
G4	3634871	Все магазины	УА15	УА4	500	200
G4	4242006	Все магазины	УА15	УА4	500	200
G4	12414	Все магазины	УА15	УА4	500	200
G4	4026879	Все магазины	УА15	УА4	500	200
G4	58228	Все магазины	УА15	УА4	500	200
G4	4277762	Все магазины	УА15	УА4	500	200
G4	3481055	Все магазины	УА15	УА4	500	200
G4	4165921	Все магазины	УА15	УА4	500	200
G4	4077532	Все магазины	УА15	УА4	500	200
G4	4083885	Все магазины	УА15	УА4	500	200
G4	4129716	Все магазины	УА15	УА4	500	200
G4	3053232	Все магазины	УА15	УА4	500	200
G4	4148833	Все магазины	УА15	УА4	500	200
G4	4279544	Все магазины	УА15	УА4	500	200
G4	4331537	Все магазины	УА15	УА4	500	200
G4	2066063	Все магазины	УА15	УА4	500	200
G4	3333187	Все магазины	УА15	УА4	500	200
G4	3282556	Все магазины	УА15	УА4	500	200
G4	3219882	Все магазины	УА15	УА4	500	200
G4	3491219	Все магазины	УА15	УА4	500	200
G4	4053083	Все магазины	УА15	УА4	500	200
G4	3467662	Все магазины	УА15	УА4	500	200
G4	3425108	Все магазины	УА15	УА4	500	200
G4	4099428	Все магазины	УА15	УА4	500	200
G4	3481054	Все магазины	УА15	УА4	500	200
G4	11210	Все магазины	УА15	УА4	500	200
G4	4152673	Все магазины	УА15	УА4	500	200
G4	3686476	Все магазины	УА15	УА4	500	200
G4	4085408	Все магазины	УА15	УА4	500	200
G4	4242188	Все магазины	УА15	УА4	500	200
G4	2016768	Все магазины	УА15	УА4	500	200
G4	4100249	Все магазины	УА15	УА4	500	200
G4	4136978	Все магазины	УА15	УА4	500	200
G4	3227566	Все магазины	УА15	УА4	500	200
G4	4275526	Все магазины	УА15	УА4	500	200
G4	3936658	Все магазины	УА15	УА4	500	200
G4	4104988	Все магазины	УА15	УА4	500	200
G4	2140253	Все магазины	УА15	УА4	500	200
G4	3635887	Все магазины	УА15	УА4	500	200
G4	3946478	Все магазины	УА15	УА4	500	200
G4	3076600	Все магазины	УА15	УА4	500	200
G4	4333294	Все магазины	УА15	УА4	500	200
G4	4320672	Все магазины	УА15	УА4	500	200
G4	3371109	Все магазины	УА15	УА4	500	200
G4	4217619	Все магазины	УА15	УА4	500	200
G4	4381020	Все магазины	УА15	УА4	500	200
G4	4120278	Все магазины	УА15	УА4	500	200
G4	3076598	Все магазины	УА15	УА4	500	200
G4	4087035	Все магазины	УА15	УА4	500	200
G4	4219977	Все магазины	УА15	УА4	500	200
G4	4024248	Все магазины	УА15	УА4	500	200
